stage,modes,model,reference_model,metric,reduction,ci_low,ci_high,n,passes_20_percent,ratio,mean_spurious_jump_error,passes_endpoint_1_05
A,4,hidden_width_2,plain,interface_mae,0.0,0.0,0.0,24,False,,,
A,4,hidden_width_2,plain,overshoot,0.0,0.0,0.0,24,False,,,
A,4,hidden_width_2,plain,relative_l2,0.0,0.0,0.0,32,False,,,
A,4,two_channel_fno,plain,interface_mae,-0.0001600825909426895,-0.0025149218281052153,0.0017407565227574198,24,False,,,
A,4,two_channel_fno,plain,overshoot,0.004212592724929798,-0.010816970882113818,0.020626312653154472,24,False,,,
A,4,two_channel_fno,plain,relative_l2,0.003451026871042817,-0.0030503149093473792,0.009333571043328028,32,False,,,
A,4,shared,plain,interface_mae,0.5370001602588382,0.512682918155282,0.5553198017304181,24,True,,,
A,4,shared,plain,overshoot,0.6360551427119767,0.5629935018656215,0.6897322825970902,24,True,,,
A,4,shared,plain,relative_l2,0.5616356003610954,0.45728427642764163,0.6576769636087565,32,True,,,
A,4,shared_learnable_rho,plain,interface_mae,0.5326706942003636,0.513773508680069,0.5500306491817848,24,True,,,
A,4,shared_learnable_rho,plain,overshoot,0.6354150784115769,0.5764333519127655,0.6873312138273171,24,True,,,
A,4,shared_learnable_rho,plain,relative_l2,0.5597925752748913,0.4609757724138033,0.6549659051518,32,True,,,
A,4,dual,plain,interface_mae,0.6453251888518499,0.5747405558561515,0.707195664052754,24,True,,,
A,4,dual,plain,overshoot,0.3237864373344911,-0.03501137381466936,0.5930235972184946,24,False,,,
A,4,dual,plain,relative_l2,0.5509187578064648,0.4764131406322886,0.6178631579313909,32,True,,,
A,4,dual,hidden_width_2,interface_mae,0.6453251888518499,0.5651673478250792,0.6972615801085864,24,True,,,
A,4,dual,hidden_width_2,overshoot,0.3237864373344911,-0.07782278335067887,0.5917633461563431,24,False,,,
A,4,dual,hidden_width_2,relative_l2,0.5509187578064648,0.47581010057788853,0.6253944786906601,32,True,,,
A,4,dual,two_channel_fno,interface_mae,0.6453819570269639,0.5779173997892844,0.7051898389942067,24,True,,,
A,4,dual,two_channel_fno,overshoot,0.3209257741911614,0.004425779166987713,0.5518738120134475,24,True,,,
A,4,dual,two_channel_fno,relative_l2,0.5493635994791974,0.4666384355858677,0.6114247939439106,32,True,,,
A,4,dual,wide_plain,interface_mae,0.3625359555061626,0.2433700308747893,0.45834737194439623,24,True,,,
A,4,dual,wide_plain,overshoot,0.4095297531661485,0.14957802745092466,0.6180452731346947,24,True,,,
A,4,dual,wide_plain,relative_l2,0.30660964349596564,0.16442950337874374,0.4206432328324247,32,True,,,
A,8,hidden_width_2,plain,interface_mae,0.0,0.0,0.0,24,False,,,
A,8,hidden_width_2,plain,overshoot,0.0,0.0,0.0,24,False,,,
A,8,hidden_width_2,plain,relative_l2,0.0,0.0,0.0,32,False,,,
A,8,two_channel_fno,plain,interface_mae,-0.001423197196414705,-0.003669692170121669,0.0012718591599956781,24,False,,,
A,8,two_channel_fno,plain,overshoot,0.001907509543942587,-0.016664784841925896,0.017531008680345954,24,False,,,
A,8,two_channel_fno,plain,relative_l2,-0.0014711953276247414,-0.004774757101189608,0.0005527146808266454,32,False,,,
A,8,shared,plain,interface_mae,0.5111573723882967,0.4972456652028654,0.5214349155575506,24,True,,,
A,8,shared,plain,overshoot,0.46053767176556226,0.38528808532642117,0.5322552987089217,24,True,,,
A,8,shared,plain,relative_l2,0.5248367686193305,0.42659566360673506,0.6208358842804984,32,True,,,
A,8,shared_learnable_rho,plain,interface_mae,0.5074293682171187,0.49340606155183453,0.5199064788289899,24,True,,,
A,8,shared_learnable_rho,plain,overshoot,0.4591579407230362,0.38577829816848136,0.5221353378764931,24,True,,,
A,8,shared_learnable_rho,plain,relative_l2,0.5230422874869043,0.42909004489657243,0.6047203773243096,32,True,,,
A,8,dual,plain,interface_mae,0.6301383040759684,0.5743401680431874,0.6812541526262033,24,True,,,
A,8,dual,plain,overshoot,0.3885575999804025,0.18604940905664955,0.5465366507567159,24,True,,,
A,8,dual,plain,relative_l2,0.5466635313460737,0.4753201564889994,0.620042327335944,32,True,,,
A,8,dual,hidden_width_2,interface_mae,0.6301383040759684,0.5685409325107976,0.6705507520886534,24,True,,,
A,8,dual,hidden_width_2,overshoot,0.3885575999804025,0.1569026474157267,0.5301803344652144,24,True,,,
A,8,dual,hidden_width_2,relative_l2,0.5466635313460737,0.47747621927337464,0.6136002163893198,32,True,,,
A,8,dual,two_channel_fno,interface_mae,0.6306639421180809,0.5728978588152682,0.6870867441464078,24,True,,,
A,8,dual,two_channel_fno,overshoot,0.3873890387250467,0.19470504410390266,0.5863199093451369,24,True,,,
A,8,dual,two_channel_fno,relative_l2,0.5473294980734615,0.4784832917274819,0.6187039376413417,32,True,,,
A,8,dual,wide_plain,interface_mae,0.42209476988656136,0.3231187276991658,0.5032774742567313,24,True,,,
A,8,dual,wide_plain,overshoot,0.2724845280181867,0.02652741291252552,0.46984996782809907,24,True,,,
A,8,dual,wide_plain,relative_l2,0.2837349279778838,0.1663627847701902,0.392954081376004,32,True,,,
A,8,hidden_width_2,plain,endpoint_relative_l2_ratio,,1.0,1.0,24,,1.0,0.0,True
A,8,two_channel_fno,plain,endpoint_relative_l2_ratio,,2.1892052951251584,122.13294473872277,24,,42.44614199192666,0.0,False
A,8,shared,plain,endpoint_relative_l2_ratio,,52.22171398578388,52.22171398578599,24,,52.22171398578499,0.0,False
A,8,shared_learnable_rho,plain,endpoint_relative_l2_ratio,,52.20700454448709,52.2070045444891,24,,52.207004544488136,0.0,False
A,8,dual,plain,endpoint_relative_l2_ratio,,40.35023437639919,40.35023437640064,24,,40.35023437639988,0.0,False
B,4,hidden_width_2,plain,interface_mae,0.0,0.0,0.0,23,False,,,
B,4,hidden_width_2,plain,overshoot,0.0,0.0,0.0,23,False,,,
B,4,hidden_width_2,plain,relative_l2,0.0,0.0,0.0,32,False,,,
B,4,two_channel_fno,plain,interface_mae,0.0004727318532321556,-0.0018778761215306583,0.002758379087786289,23,False,,,
B,4,two_channel_fno,plain,overshoot,0.0022522942015914538,-0.01690257784272779,0.023906329058146696,23,False,,,
B,4,two_channel_fno,plain,relative_l2,0.0002919360593109932,-0.002498319810251337,0.0027840553274879145,32,False,,,
B,4,shared,plain,interface_mae,0.561243204850962,0.5429159378857592,0.5866464365151824,23,True,,,
B,4,shared,plain,overshoot,0.4541459867683625,0.30791541210262857,0.6241867804234832,23,True,,,
B,4,shared,plain,relative_l2,0.46158606759906673,0.42411039040729115,0.5063657446956717,32,True,,,
B,4,shared_learnable_rho,plain,interface_mae,0.5571682742730095,0.5354477890885592,0.5770779490413255,23,True,,,
B,4,shared_learnable_rho,plain,overshoot,0.45189890566679913,0.3045105933081976,0.6063424485634863,23,True,,,
B,4,shared_learnable_rho,plain,relative_l2,0.4588273271143304,0.42129532699441474,0.49924767678547155,32,True,,,
B,4,dual,plain,interface_mae,0.6769683020543495,0.6199482272275167,0.7218473076252511,23,True,,,
B,4,dual,plain,overshoot,0.39010737500479853,0.2053322462286476,0.5706203554124654,23,True,,,
B,4,dual,plain,relative_l2,0.5710670502437201,0.507117268340285,0.6345181148400744,32,True,,,
B,4,dual,hidden_width_2,interface_mae,0.6769683020543495,0.6265311930578831,0.7217556534232478,23,True,,,
B,4,dual,hidden_width_2,overshoot,0.39010737500479853,0.2152492530066809,0.5855980022773292,23,True,,,
B,4,dual,hidden_width_2,relative_l2,0.5710670502437201,0.5016026361303634,0.6290834396750957,32,True,,,
B,4,dual,two_channel_fno,interface_mae,0.6768155224573449,0.6119480685483563,0.7253123869593585,23,True,,,
B,4,dual,two_channel_fno,overshoot,0.3887306165167689,0.1769820214520439,0.5762403959491479,23,True,,,
B,4,dual,two_channel_fno,relative_l2,0.5709417926814605,0.5079489553653428,0.6353284551879422,32,True,,,
B,4,dual,wide_plain,interface_mae,0.418731504675825,0.2984354525902624,0.5242123145148906,23,True,,,
B,4,dual,wide_plain,overshoot,0.502293539185737,0.35441445909199704,0.6913324235734994,23,True,,,
B,4,dual,wide_plain,relative_l2,0.3364451718567203,0.23055298610643832,0.4188154725687123,32,True,,,
B,8,hidden_width_2,plain,interface_mae,0.0,0.0,0.0,23,False,,,
B,8,hidden_width_2,plain,overshoot,0.0,0.0,0.0,23,False,,,
B,8,hidden_width_2,plain,relative_l2,0.0,0.0,0.0,32,False,,,
B,8,two_channel_fno,plain,interface_mae,-0.0015140392397918756,-0.003075002030119567,0.00035318793683274233,23,False,,,
B,8,two_channel_fno,plain,overshoot,-0.0036053756484264454,-0.014483410028333987,0.005752031278357104,23,False,,,
B,8,two_channel_fno,plain,relative_l2,-0.0032718828513285114,-0.0068938477923409566,-0.0006830101964516608,32,False,,,
B,8,shared,plain,interface_mae,0.5175051810227084,0.505198655054024,0.5325770943309038,23,True,,,
B,8,shared,plain,overshoot,0.44893541355072364,0.3461463200164255,0.5738239457985915,23,True,,,
B,8,shared,plain,relative_l2,0.4514587745947374,0.41729549276112154,0.4855600917077166,32,True,,,
B,8,shared_learnable_rho,plain,interface_mae,0.5137419377941619,0.4991340878873064,0.5275841509400272,23,True,,,
B,8,shared_learnable_rho,plain,overshoot,0.446024724829982,0.32723397006890165,0.5634191530673842,23,True,,,
B,8,shared_learnable_rho,plain,relative_l2,0.4487537713028209,0.4100378737804413,0.48333221795577946,32,True,,,
B,8,dual,plain,interface_mae,0.6565846868278837,0.5933338384783615,0.7074287986403959,23,True,,,
B,8,dual,plain,overshoot,0.48451698776440777,0.32926664615030987,0.6194898784604703,23,True,,,
B,8,dual,plain,relative_l2,0.5802199004963984,0.5283040336004332,0.643305773607697,32,True,,,
B,8,dual,hidden_width_2,interface_mae,0.6565846868278837,0.5936069842821483,0.7022987817893405,23,True,,,
B,8,dual,hidden_width_2,overshoot,0.48451698776440777,0.33130264121524206,0.612920473245381,23,True,,,
B,8,dual,hidden_width_2,relative_l2,0.5802199004963984,0.5105424293925055,0.6380725101579281,32,True,,,
B,8,dual,two_channel_fno,interface_mae,0.6571038450616342,0.5972699607734606,0.7037707652394641,23,True,,,
B,8,dual,two_channel_fno,overshoot,0.4863688211090538,0.34011849271632316,0.6309133561038821,23,True,,,
B,8,dual,two_channel_fno,relative_l2,0.5815888926234292,0.5200136596449464,0.6373497730303742,32,True,,,
B,8,dual,wide_plain,interface_mae,0.46382185925370156,0.3906249594648642,0.5405371672964578,23,True,,,
B,8,dual,wide_plain,overshoot,0.4132759020561928,0.2420626520580853,0.585413622216527,23,True,,,
B,8,dual,wide_plain,relative_l2,0.3450368908110142,0.23479796940744407,0.41962058542625835,32,True,,,
B,8,hidden_width_2,plain,endpoint_relative_l2_ratio,,1.0,1.0,24,,1.0,0.022486931655647024,False
B,8,two_channel_fno,plain,endpoint_relative_l2_ratio,,1.0866118007706036,1.2007220241346774,24,,1.143955079848796,0.022492971688005663,False
B,8,shared,plain,endpoint_relative_l2_ratio,,4.43973228828041,7.432495129549939,24,,5.49547311679606,0.02198703944606339,False
B,8,shared_learnable_rho,plain,endpoint_relative_l2_ratio,,4.425579145429179,7.527075936092649,24,,5.518957723325365,0.02198971647780067,False
B,8,dual,plain,endpoint_relative_l2_ratio,,3.0892808900372937,5.571163144831146,24,,4.084289450930141,0.021568361402906522,False
